,Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
193,66016.1,1,1784.2,None,None,None,37.0,,,*** not found,,,
194,284000.0,2,2812.0,7,11,2004,101.0,,,Гусовського,вулиця,Печерський,
195,155000.0,3,1550.0,13,23,2006,100.0,,,Окіпної,,,
196,49899.0,1,1386.0,1,9,1978,36.0,18.0,7.0,Багговутівська,вулиця,Шевченківський,11.0
197,95000.0,2,1696.0,9,9,1966,56.0,34.0,8.0,Дружби Народів,бульвар,Печерський,14.0
198,380000.0,3,3585.0,9,21,2019,106.0,,,Маккейна,,,
199,46000.0,2,913.0,1,4,None,,30.0,12.0,Маланюка,,,
200,60150.0,1,1504.0,21,26,None,40.0,14.0,20.0,Михайла Котельникова,,,6.0
201,185000.0,3,1745.0,8,25,2016,106.0,,38.0,Героїв Севастополя,вулиця,Солом'янський,
202,81000.0,2,964.0,18,26,2020,84.0,37.0,17.0,Маланюка,,,30.0
203,620000.0,3,4769.0,4,15,2017,130.0,66.0,16.0,Саперне Поле,вулиця,Печерський,48.0
204,48700.0,1,991.0,19,25,None,,,,Балтійський,провулок,Оболонський,
205,234000.0,3,2000.0,7,15,None,117.0,76.0,12.0,Кудрявська,вулиця,Шевченківський,29.0
206,135000.0,2,2523.0,28,34,2018,,,,Перемоги,площа,Шевченківський,
206,135000.0,2,2523.0,28,34,2018,,,,Перемоги,проспект,"Шевченківський, Святошинський, Солом'янський",
206,135000.0,2,2523.0,28,34,2018,,,,Перемоги,вулиця,Святошинський,
207,130000.0,2,2600.0,1,5,1964,50.0,,12.0,Німанська,вулиця,Печерський,
208,54100.0,1,1339.0,4,26,2018,,,,Каховська,вулиця,Дніпровський,
209,239000.0,3,3025.0,3,7,1954,79.0,44.0,13.0,Малопідвальна,вулиця,Шевченківський,22.0
210,140000.0,2,2188.0,10,14,None,64.0,34.0,15.0,Невська,,,15.0
211,128000.0,2,2612.0,5,14,2015,49.0,14.0,17.0,Златоустівська,,,18.0
212,31000.0,1,1107.0,9,9,1986,28.0,13.0,6.0,,,,9.0
213,41187.0,1,936.0,3,13,None,44.0,19.0,11.0,Берковецька,вулиця,Святошинський,14.0
214,120000.0,3,1188.0,11,16,1998,101.0,,14.0,Бажана,,,
215,740000.0,1,2772.0,20,24,2019,267.0,150.0,75.0,Антоновича,вулиця,"Голосіївський, Печерський",42.0
216,180000.0,3,2400.0,3,8,1990,75.0,41.0,9.0,*** not found,,,25.0
217,63000.0,3,900.0,1,9,1973,70.0,41.0,8.0,Гречка,,,21.0
218,126000.0,2,1658.0,15,32,2020,76.0,41.0,14.0,Микільсько-Слобідська,вулиця,Дніпровський,21.0
219,80000.0,2,1067.0,6,26,None,75.0,27.0,21.0,Правди,проспект,Подільський,27.0
220,98000.0,1,1750.0,None,None,2018,56.0,22.0,19.0,Тимошенка,,,15.0
221,150000.0,2,1807.0,16,23,2003,83.0,,,Павла Тичини,,,
222,100000.0,3,1000.0,8,17,2003,100.0,64.0,14.0,Олевська,вулиця,Святошинський,22.0
223,120000.0,3,1237.0,2,21,2016,97.0,52.0,20.0,Освіти,вулиця,Солом'янський,25.0
224,41000.0,1,1464.0,9,9,1969,28.0,17.0,5.0,Іллєнка,,,6.0
225,135000.0,1,1552.0,15,22,2012,87.0,15.0,40.0,Дніпровська,вулиця,Оболонський,32.0
226,155000.0,3,1742.0,4,4,1917,89.0,,13.0,Івана Мазепи,,,
227,90000.0,3,1286.0,5,16,1974,70.0,46.0,7.0,Українки,,,17.0
228,132000.0,2,1347.0,1,6,2016,98.0,32.0,18.0,Данченка,,,48.0
229,230000.0,None,4600.0,None,None,None,50.0,,,Драгомирова,,,
230,185000.0,3,2011.0,18,25,2017,92.0,,,Тбіліський,,,
231,70500.0,2,1203.0,20,26,2020,,28.0,,Каховська,вулиця,Дніпровський,
232,87000.0,3,915.0,9,19,2019,,52.0,,Ушинського,провулок,Солом'янський,
232,87000.0,3,915.0,9,19,2019,,52.0,,Ушинського,вулиця,Солом'янський,
233,185000.0,3,1637.0,8,24,2007,113.0,,,Урлівська,вулиця,Дарницький,
234,49860.0,2,997.0,2,9,1974,50.0,30.0,6.0,Світлицького,вулиця,Подільський,14.0
235,100000.0,2,1408.0,15,23,2007,71.0,30.0,12.0,Дніпровська,вулиця,Оболонський,29.0
236,90000.0,1,1800.0,3,25,None,50.0,25.0,,Липківського,,,
237,152000.0,2,1949.0,14,30,2020,78.0,37.0,12.0,Микільсько-Слобідська,вулиця,Дніпровський,29.0
238,159900.0,3,1259.0,15,25,2007,127.0,77.0,,Лобановського,,,
239,280000.0,3,2137.0,8,9,2005,131.0,75.0,25.0,Героїв Сталінграда,проспект,Оболонський,31.0
240,85000.0,1,1545.0,6,25,2007,55.0,24.0,13.0,Дніпровська,вулиця,Оболонський,18.0
241,67000.0,2,1098.0,13,15,1994,61.0,31.0,9.0,Драгоманова,вулиця,Дарницький,21.0
242,59000.0,1,1224.0,16,25,2010,,,,Ахматової,,,
243,420000.0,2,4667.0,5,18,2017,90.0,,,Саперне Поле,вулиця,Печерський,
244,65000.0,2,1048.0,15,17,2018,62.0,34.0,12.0,Данченка,,,16.0
245,63000.0,3,1125.0,5,5,1965,56.0,42.0,6.0,Голосіївський,проспект,Голосіївський,8.0
245,63000.0,3,1125.0,5,5,1965,56.0,42.0,6.0,Голосіївський,провулок,Голосіївський,8.0
246,95000.0,1,2568.0,5,11,1967,37.0,22.0,7.0,*** not found,,,8.0
247,100000.0,2,1562.0,8,20,None,64.0,31.0,18.0,Глибочицька,вулиця,Шевченківський,15.0
248,165000.0,4,1213.0,11,12,2019,136.0,100.0,30.0,Багговутівська,вулиця,Шевченківський,6.0
249,150000.0,3,2239.0,3,5,1917,67.0,42.0,,Саксаганського,вулиця,"Голосіївський, Печерський, Шевченківський",
250,64000.0,2,914.0,7,25,None,70.0,36.0,10.0,Моторний,,,24.0
251,73860.0,2,1319.0,5,9,None,56.0,30.0,9.0,Йорданська,вулиця,Оболонський,17.0
252,295000.0,2,4275.0,5,15,2019,69.0,49.0,20.0,Саперне Поле,вулиця,Печерський,0.0
253,55000.0,1,965.0,10,25,2018,57.0,20.0,16.0,Вернадського,,,21.0
254,79900.0,3,1051.0,7,10,1997,76.0,40.0,12.0,Курбаса,,,24.0
255,100000.0,1,2273.0,3,11,2019,44.0,,10.0,Багговутівська,вулиця,Шевченківський,
256,122000.0,2,1679.0,4,9,None,,,,Набережно-Рибальська,дорога,Подільський,
257,145000.0,2,1933.0,4,4,1899,75.0,42.0,10.0,Саксаганського,вулиця,"Голосіївський, Печерський, Шевченківський",23.0
258,133000.0,3,1385.0,20,25,2015,96.0,50.0,16.0,Малиновського,,,30.0
259,143000.0,3,1486.0,4,9,2011,,40.0,30.0,Протасів Яр,вулиця,Солом'янський,
260,62000.0,2,1378.0,2,5,1968,45.0,30.0,7.0,Німанська,вулиця,Печерський,8.0
261,95000.0,3,1397.0,3,9,None,68.0,40.0,8.0,Підвисоцького,,,20.0
262,38000.0,1,1152.0,4,9,1970,33.0,17.0,8.0,Зодчих,вулиця,Святошинський,8.0
263,52500.0,2,1050.0,9,9,1973,50.0,30.0,,Рокосовського,,,
264,229000.0,2,3181.0,5,6,1935,72.0,42.0,10.0,Шовковична,вулиця,Печерський,20.0
265,62000.0,1,1550.0,7,26,2017,40.0,17.0,11.0,Крушельницької,,,12.0
266,70000.0,2,1006.0,23,25,None,,,,Новопольова,вулиця,Солом'янський,
267,45000.0,1,1125.0,11,26,None,40.0,17.0,10.0,Визволителів,проспект,Дніпровський,13.0
268,70000.0,3,875.0,5,6,None,80.0,54.0,8.0,Сонячна,вулиця,Шевченківський,18.0
268,70000.0,3,875.0,5,6,None,80.0,54.0,8.0,Сонячна,вулиця,Дніпровський,18.0
269,158000.0,2,2135.0,24,25,2014,74.0,38.0,15.0,Сікорського,,,21.0
270,58900.0,2,950.0,14,25,None,62.0,,12.0,Радченка,,,
